Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /books/ [combined],105,0,7,18.09991651424796,4.884462000518397,355.45835699940653,1464.5333333333333,1.772849902727966,0.0,7,7,8,8,11,16,220,220,360,360,360
GET,GET /books/ [default],566,0,6,13.710542512383046,4.367618999822298,349.6847650003474,1940.0,9.556505189943131,0.0,6,7,7,8,10,15,210,260,350,350,350
GET,GET /books/ [paginated],328,0,6,10.974364198182784,4.601890999765601,372.14230400059023,2159.4603658536585,5.538045410426409,0.0,6,7,7,7,10,28,68,140,370,370,370
GET,GET /books/ [sort_by=year],239,0,6,10.121770020902572,4.850194000027841,259.2629920000036,1940.0,4.035344064304609,0.0,6,7,7,8,9,12,31,190,260,260,260
GET,GET /books/ [status filter],236,0,6,13.181497220380228,4.84341100036545,349.811363000299,1940.6440677966102,3.9846912099409524,0.0,6,7,7,8,10,12,210,240,350,350,350
,Aggregated,1474,0,6,12.74775178562703,4.367618999822298,372.14230400059023,1955.0685210312076,24.887435777343068,0.0,6,7,7,8,10,14,180,240,360,370,370
